term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"renewable energy","renewable energy","59","1000","0.059","",""
"biomass energy","biomass energy","45","1000","0.045","",""
"wind solar","wind solar","41","1000","0.041","",""
"biomass power","biomass power","38","1000","0.038","",""
"solar wind","solar wind","36","1000","0.036","",""
"wind biomass","wind biomass","32","1000","0.032","",""
"natural gas","natural gas","29","1000","0.029","",""
"biomass burning","biomass burning","27","1000","0.027","",""
"carbon dioxide","carbon dioxide","26","1000","0.026","",""
"burning biomass","burning biomass","26","1000","0.026","",""
"fossil fuels","fossil fuels","25","1000","0.025","",""
"biomass plants","biomass plants","25","1000","0.025","",""
"biomass plant","biomass plant","23","1000","0.023","",""
"wood pellets","wood pellets","20","1000","0.02","",""
"solar biomass","solar biomass","20","1000","0.02","",""
"power plant","power plant","20","1000","0.02","",""
"power plants","power plants","19","1000","0.019","",""
"energy sources","energy sources","19","1000","0.019","",""
"climate change","climate change","19","1000","0.019","",""
"biomass steam","biomass steam","19","1000","0.019","",""
"steam turbine","steam turbine","17","1000","0.017","",""
"geothermal biomass","geothermal biomass","17","1000","0.017","",""
"forest biomass","forest biomass","16","1000","0.016","",""
"biomass wood","biomass wood","16","1000","0.016","",""
"biomass geothermal","biomass geothermal","16","1000","0.016","",""
"biomass fuel","biomass fuel","15","1000","0.015","",""
"energy source","energy source","14","1000","0.014","",""
"carbon capture","carbon capture","14","1000","0.014","",""
"woody biomass","woody biomass","13","1000","0.013","",""
"carbon emissions","carbon emissions","13","1000","0.013","",""
"wind geothermal","wind geothermal","12","1000","0.012","",""
"solar geothermal","solar geothermal","12","1000","0.012","",""
"fossil fuel","fossil fuel","12","1000","0.012","",""
"energy biomass","energy biomass","12","1000","0.012","",""
"clean energy","clean energy","12","1000","0.012","",""
"biomass waste","biomass waste","12","1000","0.012","",""
"turbine market","turbine market","11","1000","0.011","",""
"renewable sources","renewable sources","11","1000","0.011","",""
"burning wood","burning wood","11","1000","0.011","",""
"biomass facilities","biomass facilities","11","1000","0.011","",""
"wood chips","wood chips","10","1000","0.01","",""
"million tons","million tons","10","1000","0.01","",""
"generate electricity","generate electricity","10","1000","0.01","",""
"fish biomass","fish biomass","10","1000","0.01","",""
"biomass coal","biomass coal","10","1000","0.01","",""
"wood biomass","wood biomass","9","1000","0.009","",""
"sources wind","sources wind","9","1000","0.009","",""
"solar panels","solar panels","9","1000","0.009","",""
"power stations","power stations","9","1000","0.009","",""
"global biomass","global biomass","9","1000","0.009","",""
"energy efficiency","energy efficiency","9","1000","0.009","",""
"company profiles","company profiles","9","1000","0.009","",""
"biomass production","biomass production","9","1000","0.009","",""
"biomass carbon","biomass carbon","9","1000","0.009","",""
"alternative energy","alternative energy","9","1000","0.009","",""
"total biomass","total biomass","8","1000","0.008","",""
"tons biomass","tons biomass","8","1000","0.008","",""
"power generation","power generation","8","1000","0.008","",""
"north carolina","north carolina","8","1000","0.008","",""
"new biomass","new biomass","8","1000","0.008","",""
"hydro biomass","hydro biomass","8","1000","0.008","",""
"hemp biomass","hemp biomass","8","1000","0.008","",""
"gas biomass","gas biomass","8","1000","0.008","",""
"energy renewable","energy renewable","8","1000","0.008","",""
"coal-fired power","coal-fired power","8","1000","0.008","",""
"capture storage","capture storage","8","1000","0.008","",""
"biomass-based diesel","biomass-based diesel","8","1000","0.008","",""
"biomass solar","biomass solar","8","1000","0.008","",""
"biomass renewable","biomass renewable","8","1000","0.008","",""
"biomass projects","biomass projects","8","1000","0.008","",""
"biomass industry","biomass industry","8","1000","0.008","",""
"wind turbines","wind turbines","7","1000","0.007","",""
"solar power","solar power","7","1000","0.007","",""
"nuclear power","nuclear power","7","1000","0.007","",""
"market size","market size","7","1000","0.007","",""
"coal natural","coal natural","7","1000","0.007","",""
"coal biomass","coal biomass","7","1000","0.007","",""
"biomass biofuels","biomass biofuels","7","1000","0.007","",""
"wood pellet","wood pellet","6","1000","0.006","",""
"tax credits","tax credits","6","1000","0.006","",""
"solid waste","solid waste","6","1000","0.006","",""
"renewable electricity","renewable electricity","6","1000","0.006","",""
"power station","power station","6","1000","0.006","",""
"new study","new study","6","1000","0.006","",""
"green energy","green energy","6","1000","0.006","",""
"gas coal","gas coal","6","1000","0.006","",""
"energy mix","energy mix","6","1000","0.006","",""
"carbon neutrality","carbon neutrality","6","1000","0.006","",""
"carbon atmosphere","carbon atmosphere","6","1000","0.006","",""
"black carbon","black carbon","6","1000","0.006","",""
"biomass biofuel","biomass biofuel","6","1000","0.006","",""
"wind power","wind power","5","1000","0.005","",""
"water biomass","water biomass","5","1000","0.005","",""
"waste biomass","waste biomass","5","1000","0.005","",""
"syngas derivatives","syngas derivatives","5","1000","0.005","",""
"subsidies biomass","subsidies biomass","5","1000","0.005","",""
"study found","study found","5","1000","0.005","",""
"sources solar","sources solar","5","1000","0.005","",""
"solar energy","solar energy","5","1000","0.005","",""
"proposed biomass","proposed biomass","5","1000","0.005","",""
"power biomass","power biomass","5","1000","0.005","",""
"plant biomass","plant biomass","5","1000","0.005","",""
"percent biomass","percent biomass","5","1000","0.005","",""
"oil biomass","oil biomass","5","1000","0.005","",""
"new york","new york","5","1000","0.005","",""
"municipal solid","municipal solid","5","1000","0.005","",""
"information administration","information administration","5","1000","0.005","",""
"including solar","including solar","5","1000","0.005","",""
"hydroelectric power","hydroelectric power","5","1000","0.005","",""
"green power","green power","5","1000","0.005","",""
"georgia power","georgia power","5","1000","0.005","",""
"environmental protection","environmental protection","5","1000","0.005","",""
"environmental groups","environmental groups","5","1000","0.005","",""
"energy production","energy production","5","1000","0.005","",""
"energy information","energy information","5","1000","0.005","",""
"energy including","energy including","5","1000","0.005","",""
"emissions biomass","emissions biomass","5","1000","0.005","",""
"carbon stored","carbon stored","5","1000","0.005","",""
"carbon neutral","carbon neutral","5","1000","0.005","",""
"carbon biomass","carbon biomass","5","1000","0.005","",""
"burn wood","burn wood","5","1000","0.005","",""
"biomass generation","biomass generation","5","1000","0.005","",""
"biomass controls","biomass controls","5","1000","0.005","",""
"xcel energy","xcel energy","4","1000","0.004","",""
"world's largest","world's largest","4","1000","0.004","",""
"wood agricultural","wood agricultural","4","1000","0.004","",""
"wild mammals","wild mammals","4","1000","0.004","",""
"waste-to-energy biomass","waste-to-energy biomass","4","1000","0.004","",""
"tax credit","tax credit","4","1000","0.004","",""
"study published","study published","4","1000","0.004","",""
"sources biomass","sources biomass","4","1000","0.004","",""
"source energy","source energy","4","1000","0.004","",""
"rhode island","rhode island","4","1000","0.004","",""
"renewable resources","renewable resources","4","1000","0.004","",""
"renewable biomass","renewable biomass","4","1000","0.004","",""
"protection agency","protection agency","4","1000","0.004","",""
"producing electricity","producing electricity","4","1000","0.004","",""
"produced biomass","produced biomass","4","1000","0.004","",""
"plants coal","plants coal","4","1000","0.004","",""
