term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"biomass","biomass","1025","1000","1.025","2.415357229394041","-0.05701692855407282"
"energy","energi","312","1000","0.312","0.8181954069175632","-0.3042111917592618"
"plants","plant","167","1000","0.167","1.3451114441760335","-0.15160365275625182"
"carbon","carbon","162","1000","0.162","1.403708859704646","0.15013447073109215"
"power","power","151","1000","0.151","0.1989380911762828","-0.027761125076968634"
"renewable","renew","125","1000","0.125","1.6939592239690426","-0.22122001082765122"
"solar","solar","124","1000","0.124","1.275197760654929","-0.15814063480937385"
"forest","forest","124","1000","0.124","1.081095728904069","0.17372157240448863"
"burning","burn","121","1000","0.121","0.39864443064841815","0.0014709546620369815"
"wind","wind","115","1000","0.115","0.5229396461236484","0.10504816142732164"
"fuel","fuel","104","1000","0.104","0.9085345104669784","-0.3133779173180699"
"sources","sourc","99","1000","0.099","0.10240430693341922","-0.28513529180352615"
"including","includ","85","1000","0.085","-0.6060175588212015","-0.20494674325132653"
"production","product","83","1000","0.083","0.3681294078063644","-0.35316045913039495"
"produce","produc","83","1000","0.083","0.0546640563464508","-0.34365248478268456"
"electricity","electr","81","1000","0.081","1.176105573125882","-0.2315220699256623"
"wood","wood","77","1000","0.077","0.9604309168497932","0.1765882163621183"
"percent","percent","77","1000","0.077","-0.23465539644055955","-0.5567387609983546"
"industry","industri","77","1000","0.077","-0.05270691079577071","-0.16537159361158693"
"generation","generat","77","1000","0.077","-0.1267958170060902","-0.17161177576361653"
"emissions","emiss","69","1000","0.069","1.653602436531455","-0.11764564220713165"
"new","new","67","1000","0.067","-0.47531444547194307","-0.21196452485775333"
"gas","gas","64","1000","0.064","0.8505263085695474","-0.06735159039717982"
"coal","coal","62","1000","0.062","1.6558468227276935","0.1280516530223494"
"waste","wast","60","1000","0.06","0.8321705112292853","-0.041738953999921474"
"company","compani","57","1000","0.057","-0.1302636833624229","-0.3315610749469385"
"natural","natur","54","1000","0.054","0.1667527229595487","-0.005223468092002798"
"trees","tree","50","1000","0.05","1.03194695705383","-0.038843252049284314"
"projects","project","49","1000","0.049","0.2811494695678791","-0.4688656621688935"
"climate","climat","49","1000","0.049","0.4470256324936848","0.053404924712114714"
"environmental","environment","47","1000","0.047","0.7878480836195415","-0.2811777408419137"
"increase","increas","45","1000","0.045","-0.3140747298989829","-0.5133009141284963"
"geothermal","geotherm","43","1000","0.043","1.7165706932475633","-0.06781654032278345"
"biofuels","biofuel","43","1000","0.043","1.9952266211970362","-0.25669554021828045"
"study","studi","42","1000","0.042","-0.11077075492581691","-0.2911270283800906"
"global","global","42","1000","0.042","-0.16656964735991853","-0.0981438193492612"
"market","market","40","1000","0.04","-0.1964837523872267","-0.20955936246398377"
"heat","heat","40","1000","0.04","0.46103378404841466","-0.10564713939733827"
"development","develop","40","1000","0.04","-0.09346347810629888","-0.3338832020259238"
"process","process","39","1000","0.039","-0.1296702624381003","-0.3206545229628061"
