stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
"852763258","2018-04-18 17:42:25","The Trump vs. California environmental fight nobody&apos;s talking about","http://rssfeeds.usatoday.com/~/540043550/0/usatodaycomnation-topstories~The-Trump-vs-California-environmental-fight-nobodyaposs-talking-about/","en","False","environment, animals","4","USA Today","http://www.usatoday.com"
"870783693","2018-05-09 22:26:24","Hawaii Energy Plant is Removing Flammable Gas","http://rssfeeds.usatoday.com/~/544690782/0/usatoday-newstopstories~Hawaii-Energy-Plant-is-Removing-Flammable-Gas/","en","False","energy and power, electric light and power, light, atomic energy","4","USA Today","http://www.usatoday.com"
"873647516","2018-05-13 11:16:55","Concerns about violent Hawaii volcano explosions grow as new fissures form","http://rssfeeds.usatoday.com/~/545492304/0/usatoday-newstopstories~Concerns-about-violent-Hawaii-volcano-explosions-grow-as-new-fissures-form/","en","False","","4","USA Today","http://www.usatoday.com"
"881535432","2018-05-22 11:49:52","Hawaii on edge as lava reaches power plant: &apos;No one has faced this before&apos;","http://rssfeeds.usatoday.com/~/547438112/0/usatoday-newstopstories~Hawaii-on-edge-as-lava-reaches-power-plant-aposNo-one-has-faced-this-beforeapos/","en","False","energy and power, electric light and power, light, water","4","USA Today","http://www.usatoday.com"
"908730809","2018-06-22 07:19:40","See inside Kristin Cavallari and Jay Cutler&apos;s  $7.9 million Nashville home","http://rssfeeds.usatoday.com/~/553884356/0/usatodaycommoney-topstories~See-inside-Kristin-Cavallari-and-Jay-Cutleraposs-million-Nashville-home/","en","False","football, housing","4","USA Today","http://www.usatoday.com"
"1080338203","2018-11-20 11:32:32","Branzino, a Mediterranean Fish, Is Being Farmed in Connecticut","https://www.nytimes.com/2018/11/20/dining/branzino-fish-farming-connecticut.html?partner=rss&emc=rss","en","False","fish and other marine life, food","1","New York Times","http://nytimes.com"
"1165955307","2019-01-17 15:25:38","We Need More Than Solar and Wind to Power the Green New Deal","https://www.nytimes.com/2019/01/17/opinion/green-new-deal-climate-change.html?partner=rss&emc=rss","en","False","politics and government, united states politics and government, global warming, environment, editorials, energy and power, air pollution, electric light and power, light","1","New York Times","http://nytimes.com"
"1313679113","2019-06-17 08:19:45","The Energy 202: Congress wants to know when Trump will fill all the vacant positions at Interior","https://www.washingtonpost.com/news/powerpost/paloma/the-energy-202/2019/06/17/the-energy-202-congress-wants-to-know-when-trump-will-fill-all-the-vacant-positions-at-interior/5d06a32aa7a0a4586bb2db00/","en","False","","2","Washington Post","http://washingtonpost.com"
"1360770272","2019-08-09 07:25:34","What Worries Iceland? A World Without Ice. It Is Preparing.","https://www.nytimes.com/2019/08/09/business/iceland-ice-melt-global-warming-climate-change.html","en","False","global warming, environment, weather, fish and other marine life, energy and power, electric light and power, light, water","1","New York Times","http://nytimes.com"
"1361006205","2019-08-09 13:01:35","Converting to Geothermal Energy","https://www.nytimes.com/2019/08/09/realestate/converting-to-geothermal-energy.html","en","False","environment, energy and power, air pollution, electric light and power, light, chemistry","1","New York Times","http://nytimes.com"
"1505765353","2020-01-27 05:00:22","A Knight in Gucci Armor Helps Charge a Geothermal Dragon","https://www.nytimes.com/2020/01/27/world/europe/italy-lake-bolsena-castel-giorgio.html?emc=rss&partner=rss","en","False","","1","New York Times","http://nytimes.com"
