x,y
3.9462457,-7.439276
5.8131757,-7.0142903
7.9164085,-8.378763
4.0921135,-8.95913
8.085092,-7.7120266
5.2040205,-6.971882
2.527978,-7.3304667
5.097173,-6.4941397
3.2380548,-9.060598
2.773379,-9.097359
3.204179,-9.073637
2.5047834,-7.402794
5.859917,-6.6086125
5.9773965,-6.0307302
8.67889,-6.0893846
5.6115017,-6.136929
5.945882,-6.6661825
5.6868343,-6.7794046
5.9668255,-5.6183867
5.964967,-5.4671817
6.286359,-6.064501
6.047416,-6.3623996
8.132444,-8.50421
7.8440356,-8.770533
3.995263,-7.589774
7.7467904,-7.8595247
3.185697,-8.037068
4.085151,-7.236062
3.985495,-7.518903
3.2085404,-7.937358
5.193968,-7.872897
7.985786,-8.58053
4.007599,-7.3357396
4.7120976,-8.02262
5.758223,-6.830937
4.4478116,-5.866962
4.136771,-7.116766
4.231588,-6.1625633
4.350373,-5.971675
2.7153835,-7.4022965
6.201119,-6.00062
4.1281686,-5.722396
8.920159,-6.0348854
8.896559,-6.1848288
9.055657,-6.1901374
5.318449,-9.737699
5.263184,-9.78809
4.996212,-10.051383
5.333518,-9.735033
6.440316,-5.98525
7.747555,-8.558438
4.4299507,-5.9047494
8.0000515,-8.095917
7.6058717,-7.830771
7.867934,-7.990176
2.9920654,-9.605003
2.5930476,-9.137112
2.6748998,-9.225708
8.336842,-6.7076254
6.016666,-5.7239127
7.973334,-8.196383
8.292522,-7.4634924
7.9980216,-8.429192
4.2636003,-10.483453
4.3324604,-10.597316
3.3576717,-10.563562
3.07127,-8.102683
3.9144998,-10.561744
5.8198442,-5.609189
5.598499,-6.003974
5.580832,-5.909183
7.866059,-7.749202
4.218174,-10.494762
3.8080556,-9.455073
4.468291,-10.451788
4.186212,-10.57459
6.1935577,-9.124676
6.0591207,-9.157538
6.1455727,-9.100063
6.19547,-9.045504
3.9220884,-8.91688
5.913534,-6.622238
7.781802,-7.9911485
4.13448,-6.400695
3.249432,-10.440212
3.1176388,-8.206705
3.3265028,-10.494513
4.610476,-6.521256
5.9831505,-7.0218987
8.064164,-8.543207
6.5349784,-6.0766635
3.4387434,-5.7644844
3.3849373,-5.7359867
2.599483,-9.254763
2.6283166,-7.6922374
2.5292704,-7.3620377
8.977733,-6.161484
8.953599,-6.161812
8.756037,-6.4039526
4.7309337,-7.80467
5.627329,-5.82445
7.7987385,-8.675778
5.4217405,-7.690702
8.482009,-6.617278
3.3615887,-5.7722354
3.6738276,-9.434142
2.8008142,-9.342577
3.4633567,-7.785822
2.4932337,-9.3305645
7.7172284,-8.619659
3.337277,-8.35564
3.6429892,-6.035914
3.2680888,-10.4481535
2.9672856,-7.7261505
2.6992838,-7.713469
3.184207,-10.300488
3.0382316,-9.678024
3.181813,-8.031434
4.0471754,-9.046405
6.099309,-6.8202977
5.5842133,-6.3228683
6.080951,-9.016758
5.7175274,-5.652398
4.632877,-8.123069
3.2804024,-5.6312494
3.9070091,-8.985904
3.9569368,-9.0340605
9.032902,-6.07739
3.0231433,-7.661441
3.869285,-8.396377
3.2670467,-9.000187
4.877005,-7.0346065
3.0594044,-7.69267
4.687767,-8.094908
4.644457,-8.131489
2.7835796,-7.579553
8.196231,-8.267468
5.421182,-6.3476515
4.809498,-10.215028
4.2189603,-6.4613166
9.058672,-6.0931334
6.313289,-9.041114
3.4573355,-10.60308
4.107748,-6.6271133
3.317602,-5.675837
