name,type,frequency,years,urls,titles,cooccurrences,slope,color
rescues,subject,6,"{2011: 0, 2012: 0, 2013: 1, 2014: 0, 2015: 0, 2016: 0, 2017: 0, 2018: 0, 2019: 0, 2020: 5}","['http://www.bbc.co.uk/news/uk-wales-mid-wales-21766969#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa', 'http://feedproxy.google.com/~r/NDTV-LatestNews/~3/CmL5qtOfd_k/crematorium-for-dogs-inaugurated-in-south-delhi-2306805', 'https://www.financialexpress.com/lifestyle/crematorium-for-dogs-inaugurated-in-south-delhi/2100576/', 'https://www.news18.com/news/india/crematorium-for-dogs-inaugurated-in-south-delhi-2942077.html', 'https://www.thehindu.com/news/cities/Delhi/crematorium-for-dogs-inaugurated-in-south-delhi/article32799504.ece', 'https://www.ndtv.com/delhi-news/crematorium-for-dogs-inaugurated-in-south-delhi-2306805']","['Two people rescued from house fire', 'Crematorium For Dogs Inaugurated In South Delhi', 'Crematorium for dogs inaugurated in south Delhi', 'Crematorium For Dogs Inaugurated In South Delhi', 'Crematorium for dogs inaugurated in south Delhi', 'Crematorium For Dogs Inaugurated In South Delhi']","['fires and firefighters', 'fires and firemen', 'animals', 'dogs', 'animals', 'dogs', 'animals', 'dogs', 'animals', 'dogs', 'animals', 'dogs']",,
fires and firefighters,subject,25,"{2011: 0, 2012: 1, 2013: 2, 2014: 0, 2015: 1, 2016: 4, 2017: 8, 2018: 3, 2019: 3, 2020: 3}","['http://www.bbc.co.uk/news/uk-wales-mid-wales-21766969#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa', 'http://www.mirror.co.uk/news/uk-news/plumber-botched-heating-installation-set-9193944', 'https://www.usnews.com/news/best-states/south-dakota/articles/2017-05-28/aid-deal-promises-quicker-fire-evacuations-in-black-hills', 'http://www.bbc.co.uk/news/uk-wales-34118601#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa', 'http://www.scoop.co.nz/stories/SC1702/S00057/fires-ravage-port-hills.htm', 'http://www.scmp.com/tech/science-research/article/2100654/scientists-find-wildfires-burning-less-land-even-though-global', 'https://theconversation.com/many-of-our-plants-and-animals-have-adapted-to-fires-but-now-the-fires-are-changing-129754?utm_medium=email', 'https://qz.com/1742990/climate-change-is-a-factor-in-wildfire-but-not-the-only-one/', 'https://www.theguardian.com/world/2017/jul/29/wildfires-provence-locals-blame-climate-change-arson', 'http://theconversation.com/why-unsafe-paraffin-stoves-are-still-being-widely-used-in-south-africa-100337', 'https://www.concordmonitor.com/Lumber-yard-fire-at-1310-Old-Concord-Road-in-Henniker-34551663', 'http://www.hindustantimes.com/india-news/colonial-legacy-lantana-camara-destroying-forests-in-karnataka/story-Bw6b0k73DKBZfs2JxMIaxJ.html', 'http://theconversation.com/zero-burning-policy-hurts-small-farmers-a-flexible-approach-is-needed-77969', 'https://www.castanet.net/news/Canada/237604/Fires-ravage-3x-the-area', 'http://www.dailymail.co.uk/news/article-4928904/Tilbury-Power-Station-towers-brought-demolition.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490', 'https://www.theguardian.com/us-news/2016/jun/22/dead-trees-california-wildfire-risk-sierra-nevada', 'https://pasoroblesdailynews.com/cal-fire-suspends-burn-permits-in-san-luis-obispo-county/96072/?utm_source=rss&utm_medium=rss&utm_campaign=cal-fire-suspends-burn-permits-in-san-luis-obispo-county', 'http://vancouversun.com/opinion/op-ed/opinion-govt-must-act-to-reduce-wildfire-threat', 'https://www.sacbee.com/news/state/california/fires/article231521778.html#storylink=rss', 'http://abcnews.go.com/Technology/wireStory/feds-drought-kills-66-million-trees-californias-sierra-40050956', 'https://www.tribuneindia.com/news/punjab/paddy-straw-gutted-in-abohar-154962', 'http://www.chroniclelive.co.uk/news/firefighters-battle-biomass-blaze-port-6177485', 'https://www.thenews.com.pk/print/313564-off-limits-to-logging', 'http://www.usnews.com/news/news/articles/2016-06-22/feds-drought-kills-66-million-trees-in-californias-sierra', 'https://rainforests.mongabay.com/0814b.htm']","['Two people rescued from house fire', 'Plumber botched heating installation - so set FIRE to it to cover his dodgy job', 'Aid Deal Promises Quicker Fire Evacuations in Black Hills', 'VIDEO: Fire-hit homes rebuilt eight years on', 'Fires ravage Port Hills', 'Scientists find wildfires burning less land even though global temperatures are rising', 'Many of our plants and animals have adapted to fires, but now the fires are changing', 'The Earth could be entering a planetary fire age', 'Wildfires in Provence: locals blame climate change and arson', 'Why unsafe paraffin stoves are still being widely used in South Africa', 'Fire rages at Henniker wood processing facility Sunday', ""How a colonial legacy plant, lantana camara, is destroying Karnataka's forests"", 'Zero-burning policy hurts small farmers – a flexible approach is needed', 'Fires ravage 3x the area', '\n\tTilbury Power Station towers brought down in demolition\n      ', ""66 million dead trees in California could fuel 'catastrophic' wildfires, officials say"", 'Cal Fire suspends burn permits in San Luis Obispo County - Paso Robles Daily News', ""Opinion: Gov't must act to reduce wildfire threat"", 'Homeowners in four Northern California counties face ban on residential debris burning', ""Feds: Drought Kills 66 Million Trees in California's Sierra"", 'Paddy straw gutted in Abohar', 'Firefighters battle biomass blaze at Port of Tyne', 'Off limits to logging', ""Feds: Drought kills 66 million trees in California's Sierra"", 'The Threat of Fragmentation to Rainforests']","['rescues', 'fires and firemen', 'agriculture', 'arson', 'Frances Wilmott', 'David Jones', 'frauds and swindling', 'Niclas Parry', 'Richard Lewis Owen RHI', 'fires and firemen', 'fires and firemen', 'housing', 'forests and forestry', 'fires and firemen', 'forests and forestry', 'fires and firemen', 'research', 'global warming', 'weather', 'fires and firemen', 'animals', 'environment', 'arson', 'forests and forestry', 'fires and firemen', 'travel and vacations', 'hotels and motels', 'David Kimemia', 'Ashley Van Niekerk', 'energy and power', 'fires and firemen', 'recycling of waste materials', 'fires and firemen', 'waste materials and disposal', 'forests and forestry', 'flowers and plants', 'food', 'agriculture', 'farmers', 'forests and forestry', 'environment', 'forests and forestry', 'fires and firemen', 'John Kozij', 'electric light and power', 'light', 'energy and power', 'accidents and safety', 'fires and firemen', 'explosions', 'forests and forestry', 'trees and shrubs', 'editorials', 'fires and firemen', 'forests and forestry', 'fires and firemen', 'weather', 'forests and forestry', 'environment', 'electric light and power', 'light', 'agriculture', 'energy and power', 'Devi Lal', 'Paddy straw laden', 'fires and firemen', 'Keith Trotter', 'forests and forestry', 'air pollution', 'trees and shrubs', 'global warming', 'editorials', 'weather', 'environment', 'forests and forestry', 'R Butler', 'forests and forestry', 'trees and shrubs', 'environment']",,
fires and firemen,subject,14,"{2011: 0, 2012: 0, 2013: 2, 2014: 0, 2015: 1, 2016: 0, 2017: 6, 2018: 2, 2019: 1, 2020: 2}","['http://www.bbc.co.uk/news/uk-wales-mid-wales-21766969#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa', 'https://www.usnews.com/news/best-states/south-dakota/articles/2017-05-28/aid-deal-promises-quicker-fire-evacuations-in-black-hills', 'http://www.bbc.co.uk/news/uk-wales-34118601#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa', 'http://www.scoop.co.nz/stories/SC1702/S00057/fires-ravage-port-hills.htm', 'http://www.scmp.com/tech/science-research/article/2100654/scientists-find-wildfires-burning-less-land-even-though-global', 'https://theconversation.com/many-of-our-plants-and-animals-have-adapted-to-fires-but-now-the-fires-are-changing-129754?utm_medium=email', 'https://www.theguardian.com/world/2017/jul/29/wildfires-provence-locals-blame-climate-change-arson', 'http://theconversation.com/why-unsafe-paraffin-stoves-are-still-being-widely-used-in-south-africa-100337', 'https://www.concordmonitor.com/Lumber-yard-fire-at-1310-Old-Concord-Road-in-Henniker-34551663', 'https://www.castanet.net/news/Canada/237604/Fires-ravage-3x-the-area', 'http://www.dailymail.co.uk/news/article-4928904/Tilbury-Power-Station-towers-brought-demolition.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490', 'http://vancouversun.com/opinion/op-ed/opinion-govt-must-act-to-reduce-wildfire-threat', 'https://www.sacbee.com/news/state/california/fires/article231521778.html#storylink=rss', 'http://www.chroniclelive.co.uk/news/firefighters-battle-biomass-blaze-port-6177485']","['Two people rescued from house fire', 'Aid Deal Promises Quicker Fire Evacuations in Black Hills', 'VIDEO: Fire-hit homes rebuilt eight years on', 'Fires ravage Port Hills', 'Scientists find wildfires burning less land even though global temperatures are rising', 'Many of our plants and animals have adapted to fires, but now the fires are changing', 'Wildfires in Provence: locals blame climate change and arson', 'Why unsafe paraffin stoves are still being widely used in South Africa', 'Fire rages at Henniker wood processing facility Sunday', 'Fires ravage 3x the area', '\n\tTilbury Power Station towers brought down in demolition\n      ', ""Opinion: Gov't must act to reduce wildfire threat"", 'Homeowners in four Northern California counties face ban on residential debris burning', 'Firefighters battle biomass blaze at Port of Tyne']","['rescues', 'fires and firefighters', 'fires and firefighters', 'fires and firefighters', 'housing', 'fires and firefighters', 'forests and forestry', 'fires and firefighters', 'forests and forestry', 'research', 'global warming', 'weather', 'fires and firefighters', 'animals', 'arson', 'fires and firefighters', 'forests and forestry', 'travel and vacations', 'hotels and motels', 'David Kimemia', 'Ashley Van Niekerk', 'energy and power', 'fires and firefighters', 'recycling of waste materials', 'fires and firefighters', 'waste materials and disposal', 'fires and firefighters', 'forests and forestry', 'John Kozij', 'electric light and power', 'light', 'energy and power', 'accidents and safety', 'fires and firefighters', 'explosions', 'editorials', 'fires and firefighters', 'fires and firefighters', 'forests and forestry', 'fires and firefighters', 'Keith Trotter']",,
