x,y
9.309288,--3.1918893
9.303934,--2.8820028
6.507544,--0.41945738
8.96994,--3.1671963
5.9178987,-3.0615692
3.6849098,-1.4422278
6.2058625,-0.8244809
5.9318843,-0.71519566
5.156882,-3.5072062
3.8995388,-1.6196394
4.427316,-3.2192106
5.2335677,-3.4295118
6.959459,--0.76754886
7.2009573,--0.3507606
6.876103,--0.34272286
6.787892,--0.43367475
9.902709,--0.24376515
7.477273,--0.90734845
7.9398355,--0.72990453
7.7188444,--0.5140281
8.80018,--2.8168147
5.4148893,-0.9762891
8.158631,--2.5381393
8.311684,--3.060996
5.685068,-0.8405585
5.4066277,-0.9091963
5.205541,-1.6719213
8.126561,-1.2348996
5.584104,-0.8483161
4.9621315,-1.3956037
8.342336,-0.7983464
8.5571995,--2.5379477
6.3393183,-0.20931575
6.1094,-0.14327908
6.7555757,--0.5576205
6.1745176,-0.10855306
5.730017,-1.0479504
4.115444,-1.6998332
7.697084,--1.2556069
6.07734,-0.047387373
10.081373,--0.41422296
10.002329,--0.366752
7.0342956,-2.6460223
7.03552,-2.6848485
6.9840674,-2.7518783
6.896036,-3.051277
7.613497,--1.2146262
8.520806,--3.2196193
8.76024,--3.1061203
8.386878,--3.1185648
4.8959365,-3.6917481
4.6959066,-3.1104107
4.5502305,-2.9826458
9.429499,--0.62807244
7.7452497,--0.7742935
7.858781,--0.8725499
7.8351827,--0.75857544
9.163276,--3.0422108
6.3338118,-3.6822815
9.320051,--2.8726194
9.373159,--2.6323583
4.5269933,-4.2770934
5.2211204,-1.5122524
6.6554646,-3.4676657
7.638589,--0.49589893
7.4163604,--0.27153516
9.029457,--3.2628756
6.4076424,-3.6261396
5.807132,-3.4365354
6.269127,-3.6110673
6.2872014,-3.5968702
4.917026,-0.13306953
4.823616,-0.108159125
4.8794785,-0.1730425
4.8145185,-0.08209292
5.8582115,-3.1307523
8.63339,--3.157321
8.336468,--3.027672
8.594889,--3.0998497
5.238985,-1.7028557
6.6757207,-0.4023263
4.59976,-4.2106504
4.431988,-4.3991385
6.287702,-0.89461744
6.6611404,--0.76520795
9.040933,--2.678598
7.5655255,--1.3376638
5.602103,--0.49227765
4.695814,-3.0953274
3.926451,-1.5516641
4.239101,-1.7982589
9.773946,--0.5266601
10.148907,--0.26667956
10.016728,--0.35517812
8.013799,-1.1923435
7.3765764,--0.24375103
8.331042,-0.34192148
6.89258,--0.80806005
9.46811,--0.5994726
5.3861957,--0.33938444
4.6332836,-3.2641582
4.7632093,-3.1353905
9.106104,--2.5728786
9.138904,--2.5477958
5.185159,-1.2573602
5.111838,-1.9229912
4.4887695,-4.338652
4.3924556,-1.6611286
4.5615163,-1.6558567
4.8041224,-3.7191467
4.637893,-4.131853
5.027401,-1.7187582
8.68463,--2.9013844
6.4533954,--0.6830095
4.854499,-0.21164843
7.445491,--0.2972515
8.22452,-1.3189688
4.535931,-1.6722656
5.127627,-0.76725733
5.336945,-3.3652103
6.7475133,-1.3972656
4.7994223,-1.600507
8.135608,-1.2338169
8.210611,-1.3046466
9.028706,--2.9620256
8.945833,--3.0144513
4.2885556,-1.7204269
6.755226,-3.34069
6.806248,-0.26257807
10.096026,--0.44313762
9.06406,--2.5282645
4.5204825,-4.3014903
6.71627,--0.64531076
5.718313,-3.237578
5.4868493,--0.41914478
